TH,13101,HH,M,2000-06-01T07:00:00+07:00,4.97,m     , O
TH,13101,HH,M,2000-06-02T07:00:00+07:00,4.86,m     , O
TH,13101,HH,M,2000-06-03T07:00:00+07:00,4.76,m     , O
TH,13101,HH,M,2000-06-04T07:00:00+07:00,4.68,m     , O
TH,13101,HH,M,2000-06-05T07:00:00+07:00,4.7,m     , O
TH,13101,HH,M,2000-06-06T07:00:00+07:00,4.82,m     , O
TH,13101,HH,M,2000-06-07T07:00:00+07:00,4.86,m     , O
TH,13101,HH,M,2000-06-08T07:00:00+07:00,4.82,m     , O
TH,13101,HH,M,2000-06-09T07:00:00+07:00,4.91,m     , O
TH,13101,HH,M,2000-06-10T07:00:00+07:00,4.99,m     , O
TH,13101,HH,M,2000-06-11T07:00:00+07:00,5.25,m     , O
TH,13101,HH,M,2000-06-12T07:00:00+07:00,6.23,m     , O
TH,13101,HH,M,2000-06-13T07:00:00+07:00,6.27,m     , O
TH,13101,HH,M,2000-06-14T07:00:00+07:00,6.12,m     , O
TH,13101,HH,M,2000-06-15T07:00:00+07:00,6.1,m     , O
TH,13101,HH,M,2000-06-16T07:00:00+07:00,6.31,m     , O
TH,13101,HH,M,2000-06-17T07:00:00+07:00,6.65,m     , O
TH,13101,HH,M,2000-06-18T07:00:00+07:00,7.08,m     , O
TH,13101,HH,M,2000-06-19T07:00:00+07:00,7.18,m     , O
TH,13101,HH,M,2000-06-20T07:00:00+07:00,7.25,m     , O
TH,13101,HH,M,2000-06-21T07:00:00+07:00,7.42,m     , O
TH,13101,HH,M,2000-06-22T07:00:00+07:00,7.97,m     , O
TH,13101,HH,M,2000-06-23T07:00:00+07:00,8.56,m     , O
TH,13101,HH,M,2000-06-24T07:00:00+07:00,8.73,m     , O
TH,13101,HH,M,2000-06-25T07:00:00+07:00,8.83,m     , O
TH,13101,HH,M,2000-06-26T07:00:00+07:00,8.82,m     , O
TH,13101,HH,M,2000-06-27T07:00:00+07:00,8.85,m     , O
TH,13101,HH,M,2000-06-28T07:00:00+07:00,8.89,m     , O
TH,13101,HH,M,2000-06-29T07:00:00+07:00,8.81,m     , O
TH,13101,HH,M,2000-06-30T07:00:00+07:00,8.57,m     , O
TH,13101,HH,M,2000-07-01T07:00:00+07:00,8.37,m     , O
TH,13101,HH,M,2000-07-02T07:00:00+07:00,8.09,m     , O
TH,13101,HH,M,2000-07-03T07:00:00+07:00,7.54,m     , O
TH,13101,HH,M,2000-07-04T07:00:00+07:00,7.45,m     , O
TH,13101,HH,M,2000-07-05T07:00:00+07:00,7.36,m     , O
TH,13101,HH,M,2000-07-06T07:00:00+07:00,7.32,m     , O
TH,13101,HH,M,2000-07-07T07:00:00+07:00,7.51,m     , O
TH,13101,HH,M,2000-07-08T07:00:00+07:00,7.67,m     , O
TH,13101,HH,M,2000-07-09T07:00:00+07:00,7.9,m     , O
TH,13101,HH,M,2000-07-10T07:00:00+07:00,8.46,m     , O
TH,13101,HH,M,2000-07-11T07:00:00+07:00,8.61,m     , O
TH,13101,HH,M,2000-07-12T07:00:00+07:00,8.71,m     , O
TH,13101,HH,M,2000-07-13T07:00:00+07:00,8.96,m     , O
TH,13101,HH,M,2000-07-14T07:00:00+07:00,9.52,m     , O
TH,13101,HH,M,2000-07-15T07:00:00+07:00,10.03,m     , O
TH,13101,HH,M,2000-07-16T07:00:00+07:00,10.21,m     , O
TH,13101,HH,M,2000-07-17T07:00:00+07:00,10.72,m     , O
TH,13101,HH,M,2000-07-18T07:00:00+07:00,10.78,m     , O
TH,13101,HH,M,2000-07-19T07:00:00+07:00,10.83,m     , O
TH,13101,HH,M,2000-07-20T07:00:00+07:00,10.59,m     , O
TH,13101,HH,M,2000-07-21T07:00:00+07:00,10.49,m     , O
TH,13101,HH,M,2000-07-22T07:00:00+07:00,10.46,m     , O
TH,13101,HH,M,2000-07-23T07:00:00+07:00,10.58,m     , O
TH,13101,HH,M,2000-07-24T07:00:00+07:00,10.7,m     , O
TH,13101,HH,M,2000-07-25T07:00:00+07:00,10.69,m     , O
TH,13101,HH,M,2000-07-26T07:00:00+07:00,10.68,m     , O
TH,13101,HH,M,2000-07-27T07:00:00+07:00,10.78,m     , O
TH,13101,HH,M,2000-07-28T07:00:00+07:00,10.78,m     , O
TH,13101,HH,M,2000-07-29T07:00:00+07:00,10.76,m     , O
TH,13101,HH,M,2000-07-30T07:00:00+07:00,10.76,m     , O
TH,13101,HH,M,2000-07-31T07:00:00+07:00,10.73,m     , O
TH,13101,HH,M,2000-08-01T07:00:00+07:00,10.62,m     , O
TH,13101,HH,M,2000-08-02T07:00:00+07:00,10.5,m     , O
TH,13101,HH,M,2000-08-03T07:00:00+07:00,10.43,m     , O
TH,13101,HH,M,2000-08-04T07:00:00+07:00,10.33,m     , O
TH,13101,HH,M,2000-08-05T07:00:00+07:00,10.06,m     , O
TH,13101,HH,M,2000-08-06T07:00:00+07:00,10.06,m     , O
TH,13101,HH,M,2000-08-07T07:00:00+07:00,10.1,m     , O
TH,13101,HH,M,2000-08-08T07:00:00+07:00,10.12,m     , O
TH,13101,HH,M,2000-08-09T07:00:00+07:00,10.12,m     , O
TH,13101,HH,M,2000-08-10T07:00:00+07:00,10.08,m     , O
TH,13101,HH,M,2000-08-11T07:00:00+07:00,10,m     , O
TH,13101,HH,M,2000-08-12T07:00:00+07:00,9.91,m     , O
TH,13101,HH,M,2000-08-13T07:00:00+07:00,9.85,m     , O
TH,13101,HH,M,2000-08-14T07:00:00+07:00,9.79,m     , O
TH,13101,HH,M,2000-08-15T07:00:00+07:00,9.73,m     , O
TH,13101,HH,M,2000-08-16T07:00:00+07:00,9.76,m     , O
TH,13101,HH,M,2000-08-17T07:00:00+07:00,9.8,m     , O
TH,13101,HH,M,2000-08-18T07:00:00+07:00,9.74,m     , O
TH,13101,HH,M,2000-08-19T07:00:00+07:00,9.53,m     , O
TH,13101,HH,M,2000-08-20T07:00:00+07:00,9.3,m     , O
TH,13101,HH,M,2000-08-21T07:00:00+07:00,9.09,m     , O
TH,13101,HH,M,2000-08-22T07:00:00+07:00,8.88,m     , O
TH,13101,HH,M,2000-08-23T07:00:00+07:00,8.81,m     , O
TH,13101,HH,M,2000-08-24T07:00:00+07:00,8.78,m     , O
TH,13101,HH,M,2000-08-25T07:00:00+07:00,9.29,m     , O
TH,13101,HH,M,2000-08-26T07:00:00+07:00,9.43,m     , O
TH,13101,HH,M,2000-08-27T07:00:00+07:00,9.39,m     , O
TH,13101,HH,M,2000-08-28T07:00:00+07:00,9.37,m     , O
TH,13101,HH,M,2000-08-29T07:00:00+07:00,9.44,m     , O
TH,13101,HH,M,2000-08-30T07:00:00+07:00,9.55,m     , O
TH,13101,HH,M,2000-08-31T07:00:00+07:00,9.66,m     , O
TH,13101,HH,M,2000-09-01T07:00:00+07:00,9.84,m     , O
TH,13101,HH,M,2000-09-02T07:00:00+07:00,10.03,m     , O
TH,13101,HH,M,2000-09-03T07:00:00+07:00,10.18,m     , O
TH,13101,HH,M,2000-09-04T07:00:00+07:00,10.53,m     , O
TH,13101,HH,M,2000-09-05T07:00:00+07:00,10.97,m     , O
TH,13101,HH,M,2000-09-06T07:00:00+07:00,11.43,m     , O
TH,13101,HH,M,2000-09-07T07:00:00+07:00,11.9,m     , O
TH,13101,HH,M,2000-09-08T07:00:00+07:00,12.07,m     , O
TH,13101,HH,M,2000-09-09T07:00:00+07:00,12.17,m     , O
TH,13101,HH,M,2000-09-10T07:00:00+07:00,12.26,m     , O
TH,13101,HH,M,2000-09-11T07:00:00+07:00,12.38,m     , O
TH,13101,HH,M,2000-09-12T07:00:00+07:00,12.52,m     , O
TH,13101,HH,M,2000-09-13T07:00:00+07:00,12.67,m     , O
TH,13101,HH,M,2000-09-14T07:00:00+07:00,12.71,m     , O
TH,13101,HH,M,2000-09-15T07:00:00+07:00,12.66,m     , O
TH,13101,HH,M,2000-09-16T07:00:00+07:00,12.58,m     , O
TH,13101,HH,M,2000-09-17T07:00:00+07:00,12.32,m     , O
TH,13101,HH,M,2000-09-18T07:00:00+07:00,12.04,m     , O
TH,13101,HH,M,2000-09-19T07:00:00+07:00,11.71,m     , O
TH,13101,HH,M,2000-09-20T07:00:00+07:00,11.43,m     , O
TH,13101,HH,M,2000-09-21T07:00:00+07:00,11.01,m     , O
TH,13101,HH,M,2000-09-22T07:00:00+07:00,10.61,m     , O
TH,13101,HH,M,2000-09-23T07:00:00+07:00,10.35,m     , O
TH,13101,HH,M,2000-09-24T07:00:00+07:00,9.95,m     , O
TH,13101,HH,M,2000-09-25T07:00:00+07:00,9.36,m     , O
TH,13101,HH,M,2000-09-26T07:00:00+07:00,9.11,m     , O
TH,13101,HH,M,2000-09-27T07:00:00+07:00,8.95,m     , O
TH,13101,HH,M,2000-09-28T07:00:00+07:00,8.77,m     , O
TH,13101,HH,M,2000-09-29T07:00:00+07:00,8.64,m     , O
TH,13101,HH,M,2000-09-30T07:00:00+07:00,8.55,m     , O
TH,13101,HH,M,2000-10-01T07:00:00+07:00,8.42,m     , O
TH,13101,HH,M,2000-10-02T07:00:00+07:00,8.11,m     , O
TH,13101,HH,M,2000-10-03T07:00:00+07:00,7.9,m     , O
TH,13101,HH,M,2000-10-04T07:00:00+07:00,7.69,m     , O
TH,13101,HH,M,2000-10-05T07:00:00+07:00,7.56,m     , O
TH,13101,HH,M,2000-10-06T07:00:00+07:00,7.3,m     , O
TH,13101,HH,M,2000-10-07T07:00:00+07:00,7.03,m     , O
TH,13101,HH,M,2000-10-08T07:00:00+07:00,6.89,m     , O
TH,13101,HH,M,2000-10-09T07:00:00+07:00,6.82,m     , O
TH,13101,HH,M,2000-10-10T07:00:00+07:00,6.8,m     , O
TH,13101,HH,M,2000-10-11T07:00:00+07:00,6.79,m     , O
TH,13101,HH,M,2000-10-12T07:00:00+07:00,6.81,m     , O
TH,13101,HH,M,2000-10-13T07:00:00+07:00,6.83,m     , O
TH,13101,HH,M,2000-10-14T07:00:00+07:00,6.76,m     , O
TH,13101,HH,M,2000-10-15T07:00:00+07:00,6.62,m     , O
TH,13101,HH,M,2000-10-16T07:00:00+07:00,6.2,m     , O
TH,13101,HH,M,2000-10-17T07:00:00+07:00,5.97,m     , O
TH,13101,HH,M,2000-10-18T07:00:00+07:00,5.7,m     , O
TH,13101,HH,M,2000-10-19T07:00:00+07:00,5.42,m     , O
TH,13101,HH,M,2000-10-20T07:00:00+07:00,5.16,m     , O
TH,13101,HH,M,2000-10-21T07:00:00+07:00,5.01,m     , O
TH,13101,HH,M,2000-10-22T07:00:00+07:00,4.9,m     , O
TH,13101,HH,M,2000-10-23T07:00:00+07:00,4.82,m     , O
TH,13101,HH,M,2000-10-24T07:00:00+07:00,4.76,m     , O
TH,13101,HH,M,2000-10-25T07:00:00+07:00,4.71,m     , O
TH,13101,HH,M,2000-10-26T07:00:00+07:00,4.71,m     , O
TH,13101,HH,M,2000-10-27T07:00:00+07:00,4.75,m     , O
TH,13101,HH,M,2000-10-28T07:00:00+07:00,4.81,m     , O
TH,13101,HH,M,2000-10-29T07:00:00+07:00,4.87,m     , O
TH,13101,HH,M,2000-10-30T07:00:00+07:00,4.88,m     , O
TH,13101,HH,M,2000-10-31T07:00:00+07:00,4.91,m     , O
TH,13101,HH,M,2000-11-01T07:00:00+07:00,4.84,m     , O
TH,13101,HH,M,2000-11-02T07:00:00+07:00,4.71,m     , O
TH,13101,HH,M,2000-11-03T07:00:00+07:00,4.63,m     , O
TH,13101,HH,M,2000-11-04T07:00:00+07:00,4.59,m     , O
TH,13101,HH,M,2000-11-05T07:00:00+07:00,4.54,m     , O
TH,13101,HH,M,2000-11-06T07:00:00+07:00,4.52,m     , O
