KH,120423,PH,M,2008-06-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-08T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-06-09T07:00:00+07:00,24.2,mm    , O
KH,120423,PH,M,2008-06-10T07:00:00+07:00,48.8,mm    , O
KH,120423,PH,M,2008-06-11T07:00:00+07:00,6.2,mm    , O
KH,120423,PH,M,2008-06-12T07:00:00+07:00,5.9,mm    , O
KH,120423,PH,M,2008-06-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-14T07:00:00+07:00,21.7,mm    , O
KH,120423,PH,M,2008-06-15T07:00:00+07:00,40.6,mm    , O
KH,120423,PH,M,2008-06-16T07:00:00+07:00,1.8,mm    , O
KH,120423,PH,M,2008-06-17T07:00:00+07:00,22.5,mm    , O
KH,120423,PH,M,2008-06-18T07:00:00+07:00,18.5,mm    , O
KH,120423,PH,M,2008-06-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-23T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-24T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-25T07:00:00+07:00,7.2,mm    , O
KH,120423,PH,M,2008-06-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-06-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-02T07:00:00+07:00,0.6,mm    , O
KH,120423,PH,M,2008-07-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-04T07:00:00+07:00,0.3,mm    , O
KH,120423,PH,M,2008-07-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-06T07:00:00+07:00,16.2,mm    , O
KH,120423,PH,M,2008-07-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-09T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-07-10T07:00:00+07:00,0.3,mm    , O
KH,120423,PH,M,2008-07-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-16T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-17T07:00:00+07:00,7.3,mm    , O
KH,120423,PH,M,2008-07-18T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-20T07:00:00+07:00,0.5,mm    , O
KH,120423,PH,M,2008-07-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-23T07:00:00+07:00,9.8,mm    , O
KH,120423,PH,M,2008-07-24T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-07-25T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-26T07:00:00+07:00,0.5,mm    , O
KH,120423,PH,M,2008-07-27T07:00:00+07:00,20.7,mm    , O
KH,120423,PH,M,2008-07-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-29T07:00:00+07:00,0.4,mm    , O
KH,120423,PH,M,2008-07-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-07-31T07:00:00+07:00,2.8,mm    , O
KH,120423,PH,M,2008-08-01T07:00:00+07:00,12.5,mm    , O
KH,120423,PH,M,2008-08-02T07:00:00+07:00,42.3,mm    , O
KH,120423,PH,M,2008-08-03T07:00:00+07:00,23,mm    , O
KH,120423,PH,M,2008-08-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-05T07:00:00+07:00,3.2,mm    , O
KH,120423,PH,M,2008-08-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-09T07:00:00+07:00,4.8,mm    , O
KH,120423,PH,M,2008-08-10T07:00:00+07:00,9.2,mm    , O
KH,120423,PH,M,2008-08-11T07:00:00+07:00,73.5,mm    , O
KH,120423,PH,M,2008-08-12T07:00:00+07:00,40.8,mm    , O
KH,120423,PH,M,2008-08-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-16T07:00:00+07:00,8.5,mm    , O
KH,120423,PH,M,2008-08-17T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-18T07:00:00+07:00,20.2,mm    , O
KH,120423,PH,M,2008-08-19T07:00:00+07:00,4.5,mm    , O
KH,120423,PH,M,2008-08-20T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-08-21T07:00:00+07:00,17.2,mm    , O
KH,120423,PH,M,2008-08-22T07:00:00+07:00,25.4,mm    , O
KH,120423,PH,M,2008-08-23T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-24T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-25T07:00:00+07:00,41.4,mm    , O
KH,120423,PH,M,2008-08-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-27T07:00:00+07:00,0.3,mm    , O
KH,120423,PH,M,2008-08-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-08-31T07:00:00+07:00,0.2,mm    , O
KH,120423,PH,M,2008-09-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-09-03T07:00:00+07:00,0.8,mm    , O
KH,120423,PH,M,2008-09-04T07:00:00+07:00,0.7,mm    , O
KH,120423,PH,M,2008-09-05T07:00:00+07:00,9.2,mm    , O
KH,120423,PH,M,2008-09-06T07:00:00+07:00,11.3,mm    , O
KH,120423,PH,M,2008-09-07T07:00:00+07:00,15.3,mm    , O
KH,120423,PH,M,2008-09-08T07:00:00+07:00,11.1,mm    , O
KH,120423,PH,M,2008-09-09T07:00:00+07:00,36.5,mm    , O
